Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,abs_diff,Gene,Hallmark,Reactome,same_direction,log2FoldChange_hcv,hcv_sig,log2FoldChange_fu,padj_fu,fu_sig
ENSG00000173702,362.6093878993664,2.0120326153180472,0.473097779260076,4.252889579115891,2.1102964816011012e-05,0.0068998578423426,2.0120326153180472,MUC13,,,False,3.862531965154199,True,-0.7939153494925435,0.3401260992987582,False
ENSG00000186487,6.203492583001197,-1.827539599745272,0.5680385628303806,-3.217280866705849,0.0012941184289785,0.0296318658617539,1.827539599745272,MYT1L,,,False,-2.486947406692093,True,,,False
ENSG00000077279,13.838431124631605,1.4578362935584412,0.5018609539254657,2.9048609622954507,0.0036741627361868,0.0481305359855297,1.4578362935584412,DCX,['HALLMARK_PANCREAS_BETA_CELLS'],,False,2.300462825646931,True,-0.3800397148493334,0.7284553853076863,False
ENSG00000158014,28.562048309899197,1.3766237631903373,0.367304600969929,3.7479077570907977,0.0001783158041711,0.0145948441810916,1.3766237631903373,SLC30A2,,,False,1.6402107125640346,True,-1.0457401614313158,0.0992862911655895,False
ENSG00000175879,9.171515589433016,1.3172198049950257,0.3325787794754684,3.960624929445284,7.475387098545988e-05,0.0100853934957249,1.3172198049950257,HOXD8,,,False,2.764809129260418,True,-0.5151549041065013,0.4771131280318845,False
ENSG00000176532,17.57034803646142,1.2994896768814903,0.4171051509627986,3.1154965933215992,0.0018363546981701,0.0347680429602332,1.2994896768814903,PRR15,,,False,1.8936226567678596,True,-0.380706601873972,0.6452419943516002,False
ENSG00000169213,263.5085318946098,1.2938135965441009,0.3855658568000276,3.355622842961256,0.0007918647961494,0.0250390307434502,1.2938135965441009,RAB3B,,,False,3.250963274348783,True,-0.3048067043860234,0.7074207392911942,False
ENSG00000151572,19.44515766334896,1.2631686823838075,0.435202691128166,2.902483620010079,0.0037021651990592,0.0482760531076545,1.2631686823838075,ANO4,,,False,1.9303426278656888,True,-1.0767427739757116,0.1214694197700406,False
ENSG00000121570,23.123664713777817,-1.2431856115116504,0.3561774074915254,-3.4903550460067567,0.0004823792186449,0.0198110430134778,1.2431856115116504,DPPA4,,,False,-2.3511486605317775,True,1.0011451698480736,0.0567455643015371,False
ENSG00000169085,22.89100346258048,-1.2414165727866686,0.316461729815664,-3.922801577017802,8.752523226115123e-05,0.0108616397208952,1.2414165727866686,VXN,,,False,-2.591199180336234,True,0.7066820606349117,0.2032034039608379,False
ENSG00000183844,897.5854159108657,1.2400523597965318,0.4027017660910919,3.0793318137969865,0.0020746547287608,0.0364017334348731,1.2400523597965318,FAM3B,,,False,4.7080029530677034,True,-0.6363777920346608,0.307958432516518,False
ENSG00000132698,552.3386352059515,1.201100190204418,0.3904611890680406,3.076106470584757,0.0020972294196494,0.0366465514829187,1.201100190204418,RAB25,,,False,4.205515607958543,True,-0.8746373739619275,0.1151736660781507,False
ENSG00000278384,131.0196197643775,-1.196539432629668,0.3321237423866091,-3.602691647490937,0.0003149390438014,0.0172639291903715,1.196539432629668,ENSG00000278384,,,False,-1.6762687631698376,True,0.1803584082282029,0.8037813521540992,False
ENSG00000171517,27.61198752325922,1.164245812870108,0.3638563095113112,3.199740618580409,0.001375513165599,0.0303725807910671,1.164245812870108,LPAR3,,,False,2.081107772249163,True,-0.2553939974696692,0.7558582041989488,False
ENSG00000119888,2013.3319921398688,1.1328571536185794,0.3677876887014106,3.080193243059564,0.002068663280055,0.0363341044292315,1.1328571536185794,EPCAM,['HALLMARK_UV_RESPONSE_UP'],,False,4.502325159884965,True,-0.456520215354137,0.4835743675484981,False
ENSG00000100312,11.518654462153874,-1.121058443619454,0.3404158635669219,-3.293202707631945,0.0009905303265767,0.026865751155395,1.121058443619454,ACR,,,False,-0.9855186579993589,True,0.8711587768279996,0.117106741818714,False
ENSG00000124429,519.1746244994597,1.103360334408732,0.3218091608731954,3.4286169213296454,0.0006066651597948,0.0225855751654192,1.103360334408732,POF1B,,,True,2.945489987233441,True,0.0705072089928154,0.9233345647272252,False
ENSG00000181019,690.6672499396885,1.0926668849949517,0.2989573701572362,3.654925397625303,0.0002572567736116,0.0160499924105466,1.0926668849949517,NQO1,"['HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY', 'HALLMARK_MYOGENESIS', 'HALLMARK_XENOBIOTIC_METABOLISM']",,False,1.449997213171099,True,-0.6800827183994799,0.1487357035601951,False
ENSG00000267561,7.040100728243179,-1.076542166869175,0.3609220374534288,-2.982755429579679,0.0028566616694507,0.0420146727543271,1.076542166869175,ENSG00000267561,,,False,-2.2683994459288965,True,,,False
ENSG00000123171,8.824570110604515,-1.074649562081557,0.3586365258240984,-2.996486650689461,0.0027311019551302,0.0412903325895842,1.074649562081557,CCDC70,,,False,-2.3853146656860775,True,,,False
ENSG00000188199,48.18649328559809,-1.074558408402022,0.2772652469682834,-3.875561110350558,0.0001063792768073,0.0119778838693933,1.074558408402022,NUTM2B,,,True,-2.052459641907066,True,-1.096392128164205,0.1107557187085111,False
ENSG00000164175,67.87117756364526,-1.0654725501932698,0.3011659150056283,-3.537825819941669,0.000403436096487,0.0187339583560656,1.0654725501932698,SLC45A2,,,False,-1.9040338733179385,True,0.5422947561474109,0.2296017417329953,False
ENSG00000146530,74.90973995750706,-1.0553247256622909,0.3408681141281239,-3.0959913289678367,0.0019615609751638,0.0356986265393111,1.0553247256622909,VWDE,,,True,-1.2004858825740057,True,-0.535164975534328,0.2888690394066424,False
ENSG00000145113,47.50476308636485,-1.0503133318998443,0.3151228095434094,-3.333028584702179,0.0008590611588138,0.0258508988002703,1.0503133318998443,MUC4,,,False,-2.958877128310892,True,0.3508880980628503,0.4813040477310809,False
ENSG00000133328,61.28869346441818,1.0453179347609776,0.3515209780921984,2.9737000062818644,0.002942325824958,0.042505236370319,1.0453179347609776,PLAAT2,,,True,-0.9127741614692753,True,0.7255939740580085,0.2435496893181555,False
