Gene,Gene,Value
CETN2,CETN2,0.062
C1orf50,C1orf50,0.062
IER3,IER3,0.062
CYP3A43,CYP3A43,0.06
TIMELESS,TIMELESS,0.06
CDKN2B,CDKN2B,0.058
COX7A1,COX7A1,0.058
CALHM5,CALHM5,0.058
CYCS,CYCS,0.058
PRKACB,PRKACB,0.056
CCDC70,CCDC70,0.056
NPIPB11,NPIPB11,0.056
NPC1L1,NPC1L1,0.056
CDHR3,CDHR3,0.056
ZNF614,ZNF614,0.054
MROH7,MROH7,0.054
APBA1,APBA1,0.054
F2RL1,F2RL1,0.054
SLC25A24,SLC25A24,0.054
C11orf42,C11orf42,0.052
DEFB1,DEFB1,0.052
RECQL,RECQL,0.052
GLA,GLA,0.052
SHROOM2,SHROOM2,0.052
CAPN3,CAPN3,0.052
TRNP1,TRNP1,0.052
TATDN3,TATDN3,0.05
NME1,NME1,0.05
RGS13,RGS13,0.05
CMYA5,CMYA5,0.048
EPCAM,EPCAM,0.048
OBI1,OBI1,0.048
SNED1,SNED1,0.048
SOAT2,SOAT2,0.048
RPS13,RPS13,0.048
ZBTB33,ZBTB33,0.048
ENSG00000285269,ENSG00000285269,0.048
C3orf49,C3orf49,0.046
MOGAT1,MOGAT1,0.046
MPZL2,MPZL2,0.046
ACBD3,ACBD3,0.046
BLOC1S2,BLOC1S2,0.046
NECAB2,NECAB2,0.046
ME2,ME2,0.046
C1orf54,C1orf54,0.044
MRPS21,MRPS21,0.044
GSDMB,GSDMB,0.044
SERPINE3,SERPINE3,0.044
BDNF,BDNF,0.044
MS4A4A,MS4A4A,0.044
WDR55,WDR55,0.042
RPS18,RPS18,0.042
ZNF124,ZNF124,0.042
DBF4,DBF4,0.042
ARMCX5,ARMCX5,0.042
IQCH,IQCH,0.042
MOSPD1,MOSPD1,0.04
PPA1,PPA1,0.04
PFDN1,PFDN1,0.04
H4C5,H4C5,0.04
UTP20,UTP20,0.04
APOO,APOO,0.04
BCR,BCR,0.038
SLC6A1,SLC6A1,0.038
STK26,STK26,0.038
H2BC4,H2BC4,0.038
TWSG1,TWSG1,0.038
TBC1D9B,TBC1D9B,0.038
SMG1,SMG1,0.038
CSRP2,CSRP2,0.038
RGS12,RGS12,0.038
PTN,PTN,0.038
ZNF212,ZNF212,0.036
DDX31,DDX31,0.036
UBR4,UBR4,0.036
ZUP1,ZUP1,0.034
ENSG00000267561,ENSG00000267561,0.034
BSPRY,BSPRY,0.034
ITGBL1,ITGBL1,0.034
ZNF627,ZNF627,0.034
ANKLE2,ANKLE2,0.034
PORCN,PORCN,0.034
HMGN1,HMGN1,0.034
COQ8A,COQ8A,0.032
RPS14,RPS14,0.032
RAB33A,RAB33A,0.032
NNAT,NNAT,0.032
METTL25B,METTL25B,0.032
CHRM5,CHRM5,0.032
SF3B6,SF3B6,0.032
ZNF486,ZNF486,0.03
SDCBP2,SDCBP2,0.03
RPS23,RPS23,0.03
IL18,IL18,0.03
FAP,FAP,0.03
UTP14A,UTP14A,0.03
EPRS1,EPRS1,0.03
COPS9,COPS9,0.03
ZNF778,ZNF778,0.028
CCT6A,CCT6A,0.028
HRNR,HRNR,0.028
EHMT1,EHMT1,0.026
RPS6,RPS6,0.026
ARF4,ARF4,0.026
SAMSN1,SAMSN1,0.026
TUBA8,TUBA8,0.026
GPR34,GPR34,0.026
DCAF4L1,DCAF4L1,0.026
DNAI4,DNAI4,0.026
RAB11A,RAB11A,0.024
SLC26A5,SLC26A5,0.024
GASK1B,GASK1B,0.024
IPO9,IPO9,0.024
BBS7,BBS7,0.024
FGF7,FGF7,0.024
ZNF35,ZNF35,0.024
MORC4,MORC4,0.022
TCEAL1,TCEAL1,0.022
TMEM273,TMEM273,0.022
EVI2B,EVI2B,0.022
GPR183,GPR183,0.022
ENOSF1,ENOSF1,0.02
CYSLTR1,CYSLTR1,0.02
GPR75,GPR75,0.02
EVI2A,EVI2A,0.02
GNG12,GNG12,0.02
GNRHR,GNRHR,0.02
LIMS2,LIMS2,0.02
GMFG,GMFG,0.02
TUT1,TUT1,0.02
TXN,TXN,0.018
OLFM1,OLFM1,0.018
SMYD4,SMYD4,0.018
ANKZF1,ANKZF1,0.018
PDLIM3,PDLIM3,0.018
CLEC2B,CLEC2B,0.018
ZNF260,ZNF260,0.018
PDPK1,PDPK1,0.018
TMEM59,TMEM59,0.016
YPEL5,YPEL5,0.016
RBM15,RBM15,0.016
FZD6,FZD6,0.016
GLIPR1L1,GLIPR1L1,0.016
UBAP1L,UBAP1L,0.016
AMIGO2,AMIGO2,0.016
TRABD2B,TRABD2B,0.014
TCEAL9,TCEAL9,0.014
CD79B,CD79B,0.014
PIGC,PIGC,0.014
MUC4,MUC4,0.014
ISCU,ISCU,0.014
HOMER1,HOMER1,0.014
GMNN,GMNN,0.014
RNF123,RNF123,0.014
POF1B,POF1B,0.014
ZCCHC17,ZCCHC17,0.014
TSPAN3,TSPAN3,0.014
AGAP3,AGAP3,0.014
PPP1R2,PPP1R2,0.014
KIAA1143,KIAA1143,0.014
VPS41,VPS41,0.012
CABLES1,CABLES1,0.012
GTF2B,GTF2B,0.012
ZNF426,ZNF426,0.012
WDR48,WDR48,0.012
BLZF1,BLZF1,0.012
SPATA31G1,SPATA31G1,0.012
ENSG00000258461,ENSG00000258461,0.012
POLR3H,POLR3H,0.012
KITLG,KITLG,0.012
ANGPT1,ANGPT1,0.012
RPS4X,RPS4X,0.012
CRKL,CRKL,0.01
RMND5B,RMND5B,0.01
VXN,VXN,0.01
ITGB1BP1,ITGB1BP1,0.01
GAPT,GAPT,0.01
ZNF275,ZNF275,0.01
STARD13,STARD13,0.01
OLA1,OLA1,0.01
NSD2,NSD2,0.01
ST3GAL3,ST3GAL3,0.01
PIGO,PIGO,0.01
TMEM175,TMEM175,0.01
SUCO,SUCO,0.01
RBM3,RBM3,0.01
UBE2E1,UBE2E1,0.01
SHISA3,SHISA3,0.01
SCLY,SCLY,0.01
SLC9A8,SLC9A8,0.01
PNPLA7,PNPLA7,0.01
PPP1R3E,PPP1R3E,0.01
TMEM165,TMEM165,0.008
DOCK5,DOCK5,0.008
RPL35,RPL35,0.008
C1GALT1C1,C1GALT1C1,0.008
CCDC186,CCDC186,0.008
ADD3,ADD3,0.008
HAUS1,HAUS1,0.008
IFNGR1,IFNGR1,0.008
ATRAID,ATRAID,0.008
COQ10B,COQ10B,0.008
COBL,COBL,0.008
BRK1,BRK1,0.008
GBF1,GBF1,0.008
SNRPD2,SNRPD2,0.008
FZD3,FZD3,0.008
GPR65,GPR65,0.008
RPL35A,RPL35A,0.008
KBTBD8,KBTBD8,0.008
HDAC2,HDAC2,0.008
RPL37,RPL37,0.006
RPL9,RPL9,0.006
PP2D1,PP2D1,0.006
LYG1,LYG1,0.006
CALU,CALU,0.006
TMEM272,TMEM272,0.006
POLR2K,POLR2K,0.006
RPL27,RPL27,0.006
OTULINL,OTULINL,0.006
NARS1,NARS1,0.006
CD59,CD59,0.006
POLR1F,POLR1F,0.006
DYNC1I2,DYNC1I2,0.006
EMB,EMB,0.006
LTB,LTB,0.006
ZNF624,ZNF624,0.004
BRD4,BRD4,0.004
ZMYM3,ZMYM3,0.004
ZNF76,ZNF76,0.004
FAN1,FAN1,0.004
UACA,UACA,0.004
NAA60,NAA60,0.004
EIF5A2,EIF5A2,0.004
NRBP2,NRBP2,0.004
ZNRF1,ZNRF1,0.004
ZBTB5,ZBTB5,0.004
STAR,STAR,0.004
GJA1,GJA1,0.004
CASP4,CASP4,0.004
KCNS3,KCNS3,0.004
RPL29,RPL29,0.004
RAN,RAN,0.004
TTI1,TTI1,0.004
ZNF184,ZNF184,0.004
FARP1,FARP1,0.004
FAU,FAU,0.004
CYSTM1,CYSTM1,0.004
PHF5A,PHF5A,0.004
CARD16,CARD16,0.004
SYF2,SYF2,0.004
MCTP1,MCTP1,0.004
LXN,LXN,0.004
NAP1L1,NAP1L1,0.002
ZNF432,ZNF432,0.002
B3GALNT1,B3GALNT1,0.002
BNIP3L,BNIP3L,0.002
